window	workflow	run_id	job_id	job_name	job_conclusion	verdict_first_pass
W1	compose-smoke.yml	33828798378	100887196055	Smoke arms (census, green boot, refusal boot — one image build)	success	INHERITED-FROM-MAIN
W1	doc-gates.yml	33830027752	100890847364	Doc budgets + anchors	success	INHERITED-FROM-MAIN
W1	security.yml	33830868355	100893676261	Sobelow baseline does not swallow its own inline waivers (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33830868355	100893676287	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	compose-smoke.yml	33832261860	100897646934	Smoke arms (census, green boot, refusal boot — one image build)	skipped	NO-BREAKER-OUTPUT
W1	compose-smoke.yml	33834868002	100905242709	Smoke arms (census, green boot, refusal boot — one image build)	success	INHERITED-FROM-MAIN
W1	security.yml	33843516341	100930661603	Sobelow baseline does not swallow its own inline waivers (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33843516341	100930661628	Sobelow static analysis (regression gate, baseline .sobelow-skips)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33843516341	100930661945	Dependency CVE audit (mix_audit over mix.lock, blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33843516341	100930661982	Sobelow baseline rows still hash to their own fingerprint (blocking)	skipped	NO-BREAKER-OUTPUT
W1	doc-gates.yml	33844907778	100934569999	Doc budgets + anchors	success	NO-BREAKER-OUTPUT
W1	security.yml	33846858835	100940748349	Sobelow baseline does not swallow its own inline waivers (blocking)	success	NO-BREAKER-OUTPUT
W1	security.yml	33846858835	100940748606	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33860970065	100985191791	Sobelow baseline does not swallow its own inline waivers (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33860970065	100985191803	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	doc-gates.yml	33865783959	101000223109	Doc budgets + anchors	success	GREEN-NO-VERDICT
W1	go-format.yml	33867690272	101006180108	gofmt -l (advisory)	success	GREEN-NO-VERDICT
W1	go-format.yml	33867690272	101006180549	gofmt drift ceiling (blocking)	success	NO-BREAKER-OUTPUT
W1	compose-smoke.yml	33868367532	101008390235	Smoke arms (census, green boot, refusal boot — one image build)	success	GREEN-NO-VERDICT
W1	compose-smoke.yml	33872192325	101020628930	Smoke arms (census, green boot, refusal boot — one image build)	failure	THIS-PRS-OWN
W1	compose-smoke.yml	33873846355	101026796445	Smoke arms (census, green boot, refusal boot — one image build)	success	GREEN-NO-VERDICT
W1	compose-smoke.yml	33874842394	101029659758	Smoke arms (census, green boot, refusal boot — one image build)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33875402740	101031233859	Dependency CVE audit (mix_audit over mix.lock, blocking)	cancelled	NO-BREAKER-OUTPUT
W1	security.yml	33875402740	101031233958	Sobelow baseline rows still hash to their own fingerprint (blocking)	cancelled	NO-BREAKER-OUTPUT
W1	security.yml	33875402740	101031234039	Sobelow baseline does not swallow its own inline waivers (blocking)	cancelled	NO-BREAKER-OUTPUT
W1	security.yml	33875402740	101031234134	Sobelow static analysis (regression gate, baseline .sobelow-skips)	cancelled	NO-BREAKER-OUTPUT
W1	security.yml	33878261717	101040572692	Sobelow baseline does not swallow its own inline waivers (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33878261717	101040572704	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	compose-smoke.yml	33879855812	101045654080	Smoke arms (census, green boot, refusal boot — one image build)	success	GREEN-NO-VERDICT
W1	compose-smoke.yml	33881300570	101050431871	Smoke arms (census, green boot, refusal boot — one image build)	success	NO-BREAKER-OUTPUT
W1	security.yml	33923419120	101186679012	Sobelow baseline does not swallow its own inline waivers (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33923419120	101186679268	Dependency CVE audit (mix_audit over mix.lock, blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33923419120	101186679329	Sobelow baseline rows still hash to their own fingerprint (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33923419120	101186679478	Sobelow static analysis (regression gate, baseline .sobelow-skips)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33924320505	101189512581	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33924320505	101189512615	Sobelow baseline does not swallow its own inline waivers (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33929305009	101204541695	Sobelow baseline does not swallow its own inline waivers (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33929305009	101204541962	Sobelow static analysis (regression gate, baseline .sobelow-skips)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33929305009	101204542005	Sobelow baseline rows still hash to their own fingerprint (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33929305009	101204542119	Dependency CVE audit (mix_audit over mix.lock, blocking)	skipped	NO-BREAKER-OUTPUT
W1	compose-smoke.yml	33935582179	101222797179	Smoke arms (census, green boot, refusal boot — one image build)	skipped	NO-BREAKER-OUTPUT
W1	compose-smoke.yml	33936001250	101223994869	Smoke arms (census, green boot, refusal boot — one image build)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33936376027	101225066782	Sobelow baseline rows still hash to their own fingerprint (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33936376027	101225066800	Sobelow baseline does not swallow its own inline waivers (blocking)	success	GREEN-NO-VERDICT
W1	security.yml	33945324602	101250298438	Sobelow baseline rows still hash to their own fingerprint (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945324602	101250298461	Sobelow baseline does not swallow its own inline waivers (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945324602	101250298467	Sobelow static analysis (regression gate, baseline .sobelow-skips)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945324602	101250298511	Dependency CVE audit (mix_audit over mix.lock, blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945928978	101251961532	Sobelow baseline does not swallow its own inline waivers (blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945928978	101251961541	Sobelow static analysis (regression gate, baseline .sobelow-skips)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945928978	101251961585	Dependency CVE audit (mix_audit over mix.lock, blocking)	skipped	NO-BREAKER-OUTPUT
W1	security.yml	33945928978	101251961663	Sobelow baseline rows still hash to their own fingerprint (blocking)	skipped	NO-BREAKER-OUTPUT
W1	compose-smoke.yml	33947744844	101256825954	Smoke arms (census, green boot, refusal boot — one image build)	skipped	NO-BREAKER-OUTPUT
