bare	pds-barkpark-reload-wedged-server-deadend
bare	pds-bl-charter-anchors-stale-vs-frozen-blob
bare	pds-bl-cli-budget-window
bare	pds-bl-cond-d-job-blind-false-abort
bare	pds-bl-crown-launch-armed-without-liveness
bare	pds-bl-dedup-unavailable-error-code
bare	pds-bl-deploy-readback-json-envelope
bare	pds-bl-e3-bare-slug-dynamic-derivation
bare	pds-bl-export-wire-bytes-and-vary-after-send-file
bare	pds-bl-failed-build-wipes-rollback-root
bare	pds-bl-floor-env-silent-revert
bare	pds-bl-go-literal-selftest-false-red-macos
bare	pds-bl-import-ddl-deadlock-flake
bare	pds-bl-launcher-assert-scratch-env
bare	pds-bl-migration-amended-in-place-divergence
bare	pds-bl-pds-harness-no-ci
bare	pds-bl-place-directory-install-echoes-transport
bare	pds-bl-recover-lost-park-notes
bare	pds-bl-scratch-teardown-strands-the-survivor
bare	pds-bl-stamp-writeback-reverts-a-stamped-criterion
bare	pds-bl-step6-control-inert-at-sha-parity
bare	pds-bl-step8-cross-invocation-gap
bare	pds-bl-tagregistry-guard-no-rung
bare	pds-bl-tickets-ten-undiagnosed-local-failures
bare	pds-bl-up-seed-remint-crash-after-revoke
bare	pds-bl-wave-paper-slug-collision
bare	pds-w10-instrumented-climb
bare	pds-w12-crown-climb-preconditions
bare	pds-w2-scratch-harness-ci
bare	pds-w23-cold-owner-verb-honesty
bare	pds-w23-harness-liveness-and-registry
bare	pds-w23-success-claim-registry
bare	pds-w6-scratch-env-quoting-trap
bare	task-a0e37c21f73f8e26
open-normalise	pds-b-proof-instrument-control-auto
open-normalise	pds-backlog-bp-dev-pull-verb
open-normalise	pds-backlog-ci-scratch-target
open-normalise	pds-backlog-delete-reconciliation
open-normalise	pds-backlog-export-edge-idle-timeout
open-normalise	pds-backlog-flat-verb-workspace-honesty
open-normalise	pds-backlog-g8-identity-reconciliation
open-normalise	pds-backlog-import-savepoint-honesty
open-normalise	pds-bl-admin-token-mint-path
open-normalise	pds-bl-artdir-no-cleanup
open-normalise	pds-bl-artifact-dir-retention
open-normalise	pds-bl-autostamp-elixir-guard
open-normalise	pds-bl-bandit-request-line-ceiling
open-normalise	pds-bl-blob-sidecar-byte-verify
open-normalise	pds-bl-blob-storage-readback
open-normalise	pds-bl-bootstrap-cross-tenant-theft
open-normalise	pds-bl-charter-line-refs-stale
open-normalise	pds-bl-charter-slot-durability
open-normalise	pds-bl-clean-import-ungated-500
open-normalise	pds-bl-clear-pull-provenance
open-normalise	pds-bl-close-audit-gaps
open-normalise	pds-bl-close-holder-and-criteria-gate
open-normalise	pds-bl-collect-stillrunning-hides-force
open-normalise	pds-bl-counts-perspective-honesty
open-normalise	pds-bl-d220a-keyed-on-a-proxy
open-normalise	pds-bl-deploy-success-without-advance
open-normalise	pds-bl-deployed-sha-override-unimplemented
open-normalise	pds-bl-doc-patch-propagation-lag
open-normalise	pds-bl-export-pool-starvation
open-normalise	pds-bl-export-single-flight-guard
open-normalise	pds-bl-export-teardown-lockstep-untested
open-normalise	pds-bl-format-drift-hygiene
open-normalise	pds-bl-gate-b-anticorrelated
open-normalise	pds-bl-guerrilla-ssr-leftovers
open-normalise	pds-bl-harness-not-relocatable
open-normalise	pds-bl-hook-observed-rev-defeats-fence
open-normalise	pds-bl-import-409-http-test
open-normalise	pds-bl-import-receipt-counts
open-normalise	pds-bl-large-task-write-500
open-normalise	pds-bl-launcher-statedir-fresh-transcript
open-normalise	pds-bl-legb-visibility-control-n3
open-normalise	pds-bl-lifecycle-check-precondition
open-normalise	pds-bl-manifest-writes-fails-open
