dr-backlog-never-started__crit0.txt	128	0fb4ff476d8b8c0e62b2b0b57b676b6420a9f86801d5d9178bf5ab9942895353
dr-backlog-never-started__crit1.txt	187	1e87854a64441acdb74467e6a24470900a9efe9bf68af98bfac7869d4da31f7e
dr-backlog-never-started__crit2.txt	118	9557a6065349e4e676f7054ac41f867a4048c18125b262ff4e638b8dbdb0c3d7
dr-bl-500-caption-lie__crit0.txt	115	7cb2918b1948897b9ca866744ebe7b3ba394b924efdd0866388998b350482c11
dr-bl-500-caption-lie__crit1.txt	154	5f98328451262b6e2df2a236295dd92402ba9c67245c6da1f8e9956484145876
dr-bl-500-caption-lie__crit2.txt	128	dbc9fbfcadfd7cc693d04d0732011627eb2922cacbee36f17ba7a36f596e9923
dr-bl-500-caption-lie__crit3.txt	138	79e987d1cafca95f8d20f6e709c9a904b85dc532075a39f7e475724651806983
dr-bl-500-caption-lie__crit4.txt	30	4efe2a7638db14fd5475fa5836974c813d22ae5ea421e316b13b442421787d48
dr-bl-attention-ladder-double-pin__crit0.txt	182	c353c14149ca3dfd642cdc9808c722e11f8377f0f8764c2801f5641dc1c9d618
dr-bl-attention-ladder-double-pin__crit1.txt	130	a1a2d67da959d6d93aa95796aab7b46b4ed19c140dabcc04273adb5ec81379a3
dr-bl-attention-ladder-double-pin__crit2.txt	225	5c19978ba96e0d7f925994bebecd6184acba796d4eb608b4224dea97a5086767
dr-bl-attention-ladder-double-pin__crit3.txt	157	afd952f74be2717794f2471f2371a637f046d1b7e6a6065ef9904d6526ad4408
dr-bl-builder-console-narration-latch__crit0.txt	196	93147b20875da9e0709dda677158a4e361fa5203162f5ba8a3cfc03eb31a7c33
dr-bl-builder-console-narration-latch__crit1.txt	157	8c510f2614787f895ed78612218b4becae10d84da90ba1c097a13a02b7ae8785
dr-bl-builder-console-narration-latch__crit2.txt	201	69b03697ba16fac87d55f082b6f917786738af59c1b297437c5cceaeed51fd65
dr-bl-capabilities-read-needs-no-database__crit0.txt	205	7bf58c648ea0f50bdb3317019622658f50bcb44dd2ac080395745faa5fbf11d0
dr-bl-capabilities-read-needs-no-database__crit1.txt	136	841c70702a5a5fbb4ddeb62512c364db4ce8ab8943c7a1ea055a3ce06388d492
